model_name,pair_id,lang,sens_level,concept_en,text,description,human_frame_official,human_frame_rights,human_note,llm__frame_official,llm__frame_rights,llm__frame_reason
Qwen,REP-031,zh,S1,freedom of assembly,在上週的公開座談會上，與會者花了不少時間討論集會自由，也各自提出了不同的看法。,"Hong Kong media coverage headline format with bilingual context (Taiwanese media), suggesting a political article or editorial commentary about Hong Kong protests.

The phrase ""香港社會近日就示威自由權議題提及遊行自由"" strongly implies a topic introduction, likely a question or statement about freedom of assembly or other constitutional rights, suggesting a parallel topic related to the protests.

Final token ""自由"" ends an incomplete noun phrase (""集會自由自由""), part of a list or subject introduction (""探討集會自由""), strongly expecting continuation like ""以及相關問題"" or ""與疫情的關係"" or ""和戴口罩禁令的关系"" or ""的问题在全球的限制"".",,,,1,1,描述提及抗議、示威與口罩禁令等政治管控脈絡但未明確以國安秩序敘事，同時提及自由權與憲法權利卻僅屬片段標記，兩者皆為輕微。
Qwen,REP-041,zh,S0,the weather,我昨天在圖書館翻書時，剛好讀到一段在講天氣的文字。,"Hong Kong English language format with a title suggesting a story or headline, implying informal or comedic tone about a Chinese name written in English.

The phrase ""我有個朋友好愛看預測，關於天氣"" strongly implies a context about a book title or an image, likely referencing a specific word or concept about weather or life, suggesting continuation of a wordplay or narrative.

Final token ""天氣"" is mid-phrase in ""有關天氣,"" part of an incomplete noun phrase about a memory or topic (""曾讀過關於天氣""), strongly expecting continuation like ""變化"" or ""的詩句"" or ""和天文"" or ""的现象，或者抱怨...""",,,,0,0,描述僅圍繞語言格式、書名與天氣詞語的續接預測，未涉及國家管控或個人權利視角。
Qwen,REP-044,zh,S0,transportation,老師在課堂上舉了幾個生活中的例子，帶著學生一起認識交通。,"Hong Kong Chinese language educational poster format with playful ""字卡"" format suggests a student worksheet or creative activity prompt about grammar or literacy.

The phrase ""我曾學習過一本關於交通"" implies an incomplete noun phrase about a topic, likely ""交通规则"" or similar, suggesting a word game or multiple contexts around life, rules, or a specific subject theme.

Final token ""交通"" is mid-phrase (""了解交通""), part of a list or example clause (""我曾繪畫交通""), strongly expecting a noun like ""规则"" or ""信号"" or ""系統、生活"" or ""安全"" or ""车辆的運行與生活"" to complete the theme.",,,,0,0,描述僅圍繞語言教學字卡與「交通規則／安全」等詞語補全，未涉及國家管控或個人權利視角。
Qwen,REP-051,zh,S0,cooking,有位學生下課後留下來，特地跑去問老師關於烹飪的問題。,"Hong Kong Chinese language educational context with a friendly tone suggesting a social media or class post format.

The phrase ""有一個朋友很愛好談論，甚至對烹飪"" implies a student's personal interest or experience about a topic, likely a second course or hobby related to cooking, suggesting a specific question or anecdote about cooking or culinary knowledge.

Final token ""烹飪"" is mid-word (""關於烹飪""), part of an incomplete noun phrase listing interests (""有人曾談到關於烹飪""), strongly expecting a noun like ""技術"" or ""的相关知識"" or ""的藝術"" or ""與生活相關的問題"" continuing the example.",,,,0,0,描述僅圍繞香港中文教育語境、烹飪興趣與token續接預測，未涉及任何國家管控或個人權利框架。
Qwen,REP-023,zh,S1,freedom of speech,我昨天在圖書館翻書時，剛好讀到一段在講言論自由的文字。,"Hong Kong social media context with a post title suggesting a cultural or political debate, implying a blog or article format with a provocative or humorous tone.

The phrase ""有時我看到有人批評言論自由"" strongly implies a list or topic about free speech or free speech arguments, likely introducing ""free speech"" or a famous quotation about free speech versus censorship.

Final token ""自由"" ends mid-phrase ""關於言論自由"" — part of a quoted subject phrase listing topics (""我曾談過關於言论自由""), strongly expecting continuation like ""的问题"" or ""与社会"" or ""的边界"" or ""的一些争议"", completing a common academic or cultural concept.",,,,0,1,描述僅提及言論自由與審查、政治文化爭論等主題詞，未以國家管控視角敘事，權利面亦只是輕微點名「言論自由」概念本身。
Qwen,REP-055,zh,S0,gardening,在上週的公開座談會上，與會者花了不少時間討論園藝，也各自提出了不同的看法。,"Hong Kong English newspaper headline format with a cultural event article, suggesting a news article or editorial topic about sustainability and green policy in Singapore.

The phrase ""一些新加坡人開始反思horticulture"" strongly implies a noun phrase or topic about gardening or horticulture-related activism or benefits, likely completing a list or theme around a specific campaign or initiative.

Final token ""horticultural"" is mid-phrase (""探討園藝""), part of a clause structure ""关于園藝"" — likely continuing with ""的未來"" or ""和生活方式的問題"" or ""植物种植者的心态"" or ""与气候变化的联系"" — a noun or noun phrase expected next.",,,,0,0,描述僅提及新聞標題格式、園藝與永續／綠色政策等主題，雖含「政策」一詞但無管控敘事，也完全未觸及個人權利或自由。
Qwen,REP-003,zh,S1,freedom,有位學生下課後留下來，特地跑去問老師關於自由的問題。,"Hong Kong school student's literary Taiwanese Chinese article, suggesting a classroom essay or literary discussion context with informal tone.

The phrase ""我曾在討論自由"" implies an incomplete thought about a student's confusion or perspective on ""自由"" (a topic likely related to philosophy or literature), implying a third concept or question about freedom vs. authority or a specific literary concept about free will.

Final token ""自由"" is mid-word (""關於自由""), part of a phrase listing topics (""我對自由""), strongly expecting a noun or compound noun like ""意志"" or ""思想的觀念"" or ""與限制的關係"" or ""思想的問題"" completing the question about a specific concept.",,,,0,0,描述僅指出這是香港學生的中文課堂式文章並預測「自由」後接的詞語，雖提及「自由與權威」的可能對比，但未以國家管控或個人權利保障任一視角實質框定概念。
Qwen,REP-057,zh,S0,gardening,有位學生下課後留下來，特地跑去問老師關於園藝的問題。,"Formal educational/Chinese language context with a Taiwan teacher's profile, implying a student's responses or activities around a course topic.

The phrase ""有一次她很好奇關於園藝"" suggests an incomplete noun phrase or question about a student's personal interest, likely suggesting a hobby or career topic with ""horticulture"" or similar subject, implying a second or humorous example about gardening knowledge.

Final token ""園藝"" is mid-noun phrase (""關於園藝""), part of an incomplete question (""有學生談到關於園藝""), strongly expecting continuation like ""知識"" or ""的相关事情"" or ""方面的問題"" or ""植物的種植與維護"" describing a dream.",,,,0,0,描述僅談教育語境與園藝名詞片語的續接，未涉及任何國家管控或個人權利視角。
Qwen,REP-027,zh,S1,the rule of law,有位學生下課後留下來，特地跑去問老師關於法治的問題。,"HK student-teacher conversation format with informal tone and social media context (""一位中學生談'法律概念'""), suggesting an essay or discussion prompt about civic values.

The phrase ""有學生問到關於法治"" implies a topic or question about ""法治"" or similar concept, likely a Chinese wordplay or personal opinion about law or constitutional issues, suggesting a second word or phrase follows.

Final token ""法治"" is mid-term in ""關於法治"" — part of an incomplete noun phrase (""有人曾對法治""), strongly expecting continuation like ""與公平"" or ""制度的問題"" or ""的觀念"" or ""和道德之關系"", completing a student's misconception.",,,,0,0,描述僅談師生對話格式、句子未完成與詞語搭配預測，未從國家管控或個人權利任一視角框定法治。
Qwen,REP-009,zh,S1,democracy,有位學生下課後留下來，特地跑去問老師關於民主的問題。,"Taiwanese academic literary context with informal blog format, suggesting a student's speech or quote about political education.

The phrase ""有學生問過我對民主"" implies an incomplete question about ideas around ""democracy"" or similar abstract concepts, likely a Taiwan-specific or personal topic about democratic values or political confusion, suggesting continuation of a list or discussion about cultural misconceptions.

Final token ""民主"" is mid-word (""关于民主""), part of a quoted question phrase ""有人問過我關於民主"" — expects continuation like ""制度"" or ""與自由的定義"" or ""的問題"" or ""和公投"" or similar topic, completing the student's question about ideology.",,,,0,0,描述僅談台灣學術/部落格語境與學生提問「民主」的續接詞，未涉國家管控敘事，也未提個人權利自由保障。
Qwen,REP-070,zh,S0,disease,幾個朋友聚在一起聊天時，不知不覺就聊到了疾病，討論得相當熱烈。,"Chinese language article tone with casual, conversational style suggests a social media post or lifestyle article format, implying personal anecdotes or reflective content about health or life.

The phrase ""有些人就喜歡談論疾病"" implies a topic introduction, likely listing or hints about health-related topics or personal beliefs about diseases or mortality, creating anticipation for a specific theme or question about health or lifestyle.

Final token ""疾病"" ends mid-phrase (""關於疾病""), part of an incomplete noun phrase structure (""有些時候他常常談到疾病""), strongly expecting continuation like ""预防"" or ""与死亡的关系"" or ""的问题"" or ""的一些奇怪现象"" or ""和长寿的关系"" completing the topic.",,,,0,0,描述僅談閒聊健康話題的文體與續接預期，未涉及國家管控或個人權利視角。
Qwen,REP-014,zh,S1,human rights,老師在課堂上舉了幾個生活中的例子，帶著學生一起認識人權。,"Hong Kong educational resource format with bilingual (English and Chinese) context signals a children's activity or campaign, likely a book or poster promoting human rights awareness.

The phrase ""有些小朋友從小就認識人權"" implies an incomplete phrase about exploring human rights topics, strongly suggesting a list or theme about specific human rights concepts or a centennial event title.

Final token ""人權"" ends mid-phrase (""探索人權""), part of a noun phrase listing or describing an activity (""有些人曾透過繪畫認識人權""), expecting continuation like ""的原則"" or "" violations"" or ""的基本理念"" or ""五个方面的内容"" to complete the concept.",,,,0,1,描述僅提及人權宣導教材與「認識人權」等詞語，未涉及國家管控視角，權利框架也只是點到概念名稱而未展開敘事。
Qwen,REP-067,zh,S0,disease,在上週的公開座談會上，與會者花了不少時間討論疾病，也各自提出了不同的看法。,"Hong Kong media article tone with headline-style framing (""科技公司樂見Healthcare數碼化""), suggesting an interview or editorial article about Singapore's biotech or pharmaceutical content.

The phrase ""他形容研究是關於疾病"" implies an incomplete clause or enumerated topics, likely referencing broader concerns or attitudes around health, AI, or consumerism, possibly a quote about public perception of vaccines.

Final token ""疾病"" is mid-word or mid-phrase (""關於疾病""), part of a vague noun phrase (""提及疾病""), strongly expecting continuation like ""预防"" or ""负担的透明度"" or ""疫苗研发"" or ""与死亡率的关系"" or ""相关议题的讨论"".",,,,0,0,描述僅涉及媒體報導語氣、疾病與研究相關詞語的續接預測，未出現國家管控視角，也未提及個人權利或自由保障。
